customer_id,age,gender,income,region
ojMHmfN2Sm6q,65,F,64000,West
J0gCRLHHBQHP,56,M,20000,South
w3sSuV4CKchY,61,F,46000,South
vtv2HAYCuytf,55,F,23000,Northeast
ROZV6uiSAX06,28,M,26000,West
u2iFVKK8q4wP,65,M,28000,South
YpMosNTRTUCU,32,F,40000,Northeast
m6pxuwQwxb3t,38,M,74000,Northeast
fqod3975GlUH,58,M,18000,West
6GdouAuXSDNO,18,M,104000,Northeast
UMpPHxP9OLQ5,28,F,26000,Midwest
ez9nXoqI6sUK,39,M,46000,West
yEpbyDwzJOPY,21,M,30000,West
COUSpWjoYmAU,21,M,84000,West
Fyv7booyw99Y,26,M,183000,Midwest
DheUYDhwmaoG,27,M,20000,Northeast
7SN78gVOktzN,38,F,21000,South
nE370Lp1dETl,38,M,15000,South
XjTkoETjvZMP,40,M,1e+05,Midwest
cI89JNcQHaSR,36,F,173000,West
T9f1NjdwA4hF,47,F,47000,Northeast
rdU8LnyxyreJ,65,M,33000,South
YkNVFM782Kkq,53,F,59000,Midwest
8Lka3u9ZOrUu,50,F,15000,South
gQ0m7ag5ZlWY,26,F,62000,South
6PowvFpOmzZu,33,F,35000,Midwest
s9XS0MEbg7Fl,56,M,93000,Northeast
gsM7N78z9DXg,24,F,77000,Northeast
TMiIk0lI3ydi,36,F,31000,Northeast
Cxk7yp3E4CD3,54,F,37000,Midwest
TjUlRdIg4dhM,62,M,96000,Northeast
qEASbYGL7zKA,26,F,92000,West
UKiZdx8Td2un,61,M,19000,Northeast
K9Fwsk54kCmq,46,F,291000,West
uAXcv7vCVUkU,53,M,157000,Northeast
M4yp9VHRYrkF,54,M,46000,Midwest
YAqXq1S4tJyq,33,F,23000,West
ddWspbJZs0rW,44,M,78000,South
W7Ef87y69Its,50,M,142000,West
xUZiSPkTCxmd,25,M,34000,Midwest
wpAcz2EiQQSr,27,M,15000,West
K9idll82Ntaq,37,M,74000,South
MCmAnMWOpFRQ,37,M,115000,West
m0MzgRnT97NS,41,F,54000,Midwest
brj0VUjfb5zk,19,M,26000,West
MAKQ8mu0bwv8,50,M,44000,West
Ko7OdiAQXl9d,36,F,16000,South
ihKO2niBDK5x,43,M,53000,Northeast
RVWlEdQR4Bg6,55,M,28000,South
9zcy5zC3LQOL,38,F,48000,Northeast
iCM5KzHFNZFN,62,F,69000,West
apwvqGrbFL8g,55,F,171000,Northeast
O3JN1uOVREzq,27,M,65000,West
aelaT24UYAKe,50,F,27000,Midwest
sD1hitKvk9CW,30,F,77000,Midwest
ch6cuW4PizbG,34,M,90000,Northeast
n53FRfmtF44v,51,M,38000,Midwest
ASPxRbLIuA20,52,F,44000,South
QeVX7xRmQffm,43,F,17000,South
E015jb3uehbl,18,F,113000,Midwest
HDocbSuksDXP,57,F,25000,South
cRo4JdwQhAK3,28,M,66000,Northeast
jyKb5yKQJgxE,58,M,86000,West
aycy0TqixxPy,54,F,30000,Northeast
1PociSaFy2in,19,M,81000,South
cvgnle1xv14Y,57,F,64000,Midwest
62cXPsGQ2KMa,27,F,15000,South
8KRipNIwVj2G,26,F,42000,West
MVoMPg2RuC33,27,F,65000,South
eDsyqQbIhcRe,35,M,72000,Northeast
2g8AtZbqgX94,57,F,32000,Northeast
p1EBfnnbqxif,32,F,30000,South
MeQTEC6qAAJc,27,F,45000,Northeast
OekFxixqUIxx,30,M,56000,South
5Q7E3DsL5G1t,19,F,307000,South
Btl98fikcJkl,32,M,30000,Northeast
LrfEyjyeGCLc,59,M,20000,Midwest
inODCmvattOd,44,F,18000,Northeast
CMQMrIcOp71M,60,M,35000,South
V545daveXyjW,55,F,15000,South
acmpBtdUKSMM,39,M,15000,West
q2QWgkMbFXWd,50,F,29000,Northeast
J8bXageJ8RUg,53,F,15000,West
lyENal8fvdcy,27,M,79000,Midwest
iuzX60DPKZxp,38,F,82000,West
flb9rndqidcz,30,F,15000,West
MGNopZfYEp4X,44,F,68000,West
ZggsRtkNhk67,58,F,28000,West
1hkFU8wpg6XA,31,F,302000,Midwest
CoJewtokk6DM,41,F,38000,South
q9kuqJTeiVi2,39,F,83000,West
tRkEj03WUF63,59,F,66000,Midwest
E4q8obnBCPPt,60,M,174000,Midwest
GKAcMdfID181,37,F,169000,West
0CnYRYkQRrsg,61,F,84000,West
Q45rWavnGeXh,22,F,323000,Midwest
fH9SLFqWtPtP,59,F,89000,West
dXeAsB5dln1s,45,M,33000,South
SNl2xESqJZgF,55,M,19000,Midwest
9jSLFlFaVEMQ,47,F,2e+05,South
M2igaFKH2xSa,27,M,90000,Midwest
yTgI3BTt3vOd,22,F,22000,Midwest
gZnzu63NAarD,62,M,251000,South
UKtd4ziU3lBt,44,M,127000,West
v4TFlXCBcM1i,26,M,87000,Midwest
QYpVkqDoBwOw,50,M,27000,Midwest
N1M6t4RAJMWD,55,F,18000,Midwest
505adLwuBeT2,51,F,23000,Midwest
yK4kznZTMziP,61,M,134000,West
T2t4buDjfmLk,51,F,30000,Northeast
fsEyqx8I4eZI,52,M,72000,South
RP4HsfU1Fsyz,34,F,15000,Midwest
suvcdip0TnWP,62,M,24000,Northeast
QBfyEi1rr2mo,24,F,15000,West
1k9NK6cN76Xt,40,F,63000,South
bCfxWUhOi9K5,22,M,66000,Midwest
qcZfrvTuuOQo,60,M,33000,Northeast
Dhnmd8zINMiu,41,M,62000,South
VRWVvKCOtwbx,45,M,15000,Northeast
Or3H0TwslrbD,62,M,27000,Midwest
SzBCMUiPkqJt,38,M,287000,Northeast
zmSN9VrHasjm,49,F,19000,South
aT41IdN4TT9b,31,M,66000,Midwest
Cdy5PgfgxslD,32,F,24000,South
XRfIKoSFdnfm,64,M,238000,Northeast
wxTeJFpsKgNF,64,M,17000,West
FEDdNcFtxleT,32,M,241000,Northeast
oDxnsCDJTTE3,28,M,135000,Midwest
iZ8OCnNxQ0Ue,42,F,35000,Northeast
GDV2S8HZsDdu,29,F,15000,Midwest
TiWHBZpfLcQK,50,M,75000,West
NLQoCX8PaL3A,40,F,18000,Northeast
tdUiJYcbVXYQ,60,F,58000,Midwest
F4ocX9jlGz85,54,M,53000,South
YmqZl9GUUxoj,46,F,59000,South
dnGfIFApfgpz,36,M,90000,West
tMFPyYPdUH00,40,F,87000,South
HcqlTENl5Gwx,62,M,18000,South
oN2GZR5YKSjW,57,M,15000,Northeast
